location,bhk,bath,total_sqft,price_per_sqft,price_lakhs,balcony,society_type,availability
Borivali West,1,1.0,471,17609,82.94,0.0,Affordable,1 year
Ghatkopar East,1,1.0,415,20234,83.97,1.0,Premium,1 year
Worli,1,1.0,433,37681,163.16,2.0,Premium,Ready To Move
Navi Mumbai,4,3.0,2595,13791,357.88,0.0,Premium,1 year
Bandra West,1,1.0,730,43285,315.98,2.0,Premium,6 months
Lower Parel,4,4.0,1927,35516,684.39,0.0,Affordable,6 months
Kandivali East,4,4.0,1760,16703,293.97,1.0,Mid-Range,Ready To Move
Borivali West,2,1.0,1235,18847,771.7291910174911,1.0,Premium,6 months
Andheri West,1,1.0,568,27787,157.83,2.0,Luxury,1 year
Vikhroli,1,1.0,554,15006,83.13,2.0,Premium,6 months
Panvel,1,1.0,639,9717,62.09,2.0,Mid-Range,6 months
Panvel,2,1.0,1227,9270,113.74,1.0,Affordable,Ready To Move
Kurla West,3,2.0,1429,14244,203.55,1.0,Mid-Range,1 year
Mira Road,2,2.0,1222,11251,137.49,2.0,Premium,Ready To Move
Kandivali East,3,2.0,1309,16755,219.32,0.0,Premium,Ready To Move
Andheri West,1,1.0,513,27865,142.95,2.0,Premium,1 year
Chembur,2,2.0,796,23656,188.3,0.0,Affordable,Ready To Move
Lower Parel,4,3.0,1695,35757,606.08,1.0,Premium,1 year
Mulund West,3,2.0,2075,18509,384.06,2.0,Affordable,1 year
Lower Parel,3,2.0,1597,35079,560.21,2.0,Mid-Range,1 year
Goregaon East,2,1.0,904,17960,162.36,1.0,Luxury,Ready To Move
Worli,1,1.0,575,36893,212.13,1.0,Affordable,6 months
Ghatkopar East,2,1.0,855,21411,183.06,2.0,Luxury,1 year
Chembur,1,1.0,595,23495,139.8,1.0,Premium,1 year
Goregaon East,2,1.0,982,18592,182.57,2.0,Affordable,Ready To Move
Mira Road,1,1.0,753,10424,78.49,0.0,Luxury,1 year
Worli,4,3.0,1729,35065,606.27,0.0,Affordable,6 months
Thane West,4,3.0,2019,13033,263.14,1.0,Luxury,Ready To Move
Navi Mumbai,1,1.0,539,13089,70.55,0.0,Premium,Ready To Move
Kurla West,1,1.0,594,15742,93.51,,Affordable,6 months
Navi Mumbai,1,1.0,602,13951,83.99,,Luxury,6 months
Vikhroli,3,,1524,15311,233.34,2.0,Premium,Ready To Move
Kandivali East,4,4.0,2353,15422,362.88,2.0,Mid-Range,Ready To Move
Mulund West,3,2.0,1344,19368,260.31,1.0,Mid-Range,1 year
Worli,2,2.0,1232,36522,449.95,2.0,Affordable,1 year
Panvel,4,3.0,1973,10402,205.23,1.0,Affordable,Ready To Move
Mira Road,3,,1392,10024,139.53,0.0,Affordable,Ready To Move
Navi Mumbai,4,3.0,2011,13605,273.6,1.0,Luxury,Ready To Move
Powai,1,1.0,568,26828,152.38,2.0,Affordable,1 year
Bandra West,1,1.0,583,42833,249.72,2.0,Mid-Range,1 year
Ghatkopar East,3,2.0,1613,19441,313.58,1.0,Mid-Range,6 months
Goregaon East,1,1.0,461,20042,92.39,2.0,Premium,Ready To Move
Malad West,3,2.0,1474,16911,249.27,1.0,Premium,6 months
Lower Parel,2,2.0,1146,33123,379.59,0.0,Mid-Range,Ready To Move
Chembur,1,1.0,611,21922,133.94,1.0,Premium,Ready To Move
Borivali West,4,3.0,1669,16641,277.74,2.0,Luxury,Ready To Move
Worli,4,3.0,1731,34485,596.94,1.0,Premium,1 year
Mira Road,2,,1379,9250,127.56,0.0,Luxury,Ready To Move
Malad West,2,2.0,922,17211,158.69,0.0,Luxury,1 year
Mira Road,3,2.0,1358,8948,121.51,1.0,Affordable,Ready To Move
Goregaon East,2,2.0,994,19230,191.15,0.0,Mid-Range,Ready To Move
Powai,1,1.0,679,26437,179.51,2.0,Mid-Range,1 year
Juhu,2,1.0,1284,39861,511.82,2.0,Affordable,1 year
Powai,3,3.0,2022,27008,546.1,1.0,Luxury,Ready To Move
Goregaon East,3,3.0,1842,19360,356.61,0.0,Affordable,1 year
Borivali West,1,1.0,733,18969,139.04,1.0,Affordable,6 months
Thane West,3,3.0,1859,13350,248.18,1.0,Mid-Range,1 year
Ghatkopar East,1,1.0,503,19033,95.74,1.0,Luxury,1 year
Panvel,1,1.0,637,9550,60.83,2.0,Affordable,Ready To Move
Malad West,2,2.0,1341,18294,245.32,1.0,Luxury,Ready To Move
Kurla West,4,4.0,2325,14272,331.82,2.0,Affordable,Ready To Move
Goregaon East,4,4.0,2052,19653,403.28,1.0,Mid-Range,6 months
Panvel,4,3.0,2761,7998,220.82,0.0,Affordable,Ready To Move
Kurla West,3,3.0,1818,14131,256.9,1.0,Mid-Range,6 months
Bandra West,2,1.0,1398,43544,608.75,2.0,Affordable,6 months
Thane West,3,2.0,1632,15561,253.96,2.0,Premium,1 year
Goregaon East,4,3.0,1726,20050,346.06,1.0,Affordable,Ready To Move
Chembur,1,,617,23562,145.38,1.0,Luxury,1 year
Bandra West,3,3.0,1511,40306,609.02,1.0,Mid-Range,1 year
Powai,4,3.0,2586,27908,721.7,2.0,Affordable,Ready To Move
Kurla West,1,1.0,628,13931,87.49,1.0,Luxury,Ready To Move
Mira Road,1,1.0,565,8188,46.26,0.0,Mid-Range,6 months
Navi Mumbai,2,2.0,1054,12318,129.83,0.0,Premium,Ready To Move
Powai,3,2.0,1717,26038,447.07,0.0,Premium,1 year
Borivali West,2,1.0,1064,18681,198.77,1.0,Premium,Ready To Move
Mira Road,2,1.0,1263,10827,136.75,1.0,Premium,1 year
Chembur,1,1.0,600,22354,134.12,2.0,Mid-Range,Ready To Move
Kharghar,2,2.0,1033,12729,131.49,1.0,Mid-Range,Ready To Move
Kurla West,4,3.0,1841,15543,286.15,2.0,Premium,Ready To Move
Andheri West,2,1.0,922,28999,267.37,1.0,Mid-Range,1 year
Lower Parel,1,1.0,708,34174,241.95,1.0,Premium,6 months
Chembur,4,3.0,2457,23294,572.33,0.0,Premium,Ready To Move
Kharghar,4,3.0,1814,9057,164.29,0.0,Affordable,6 months
Borivali West,3,2.0,1940,15443,299.59,1.0,Luxury,6 months
Kurla West,1,1.0,719,16724,120.25,2.0,Affordable,Ready To Move
Worli,1,1.0,649,34475,223.74,2.0,Premium,1 year
Mira Road,2,1.0,1099,11626,127.77,,Affordable,1 year
Borivali West,1,,602,16821,101.26,1.0,Luxury,6 months
Ghatkopar East,3,2.0,1368,19130,261.7,0.0,Affordable,Ready To Move
Malad West,3,3.0,1326,17497,232.01,2.0,Premium,Ready To Move
Ghatkopar East,1,1.0,647,19345,125.16,2.0,Luxury,6 months
Worli,1,1.0,613,34450,211.18,0.0,Premium,Ready To Move
Navi Mumbai,4,4.0,2285,10064,229.96,0.0,Premium,1 year
Mulund West,1,1.0,670,19186,128.55,2.0,Luxury,1 year
Mulund West,1,1.0,660,17876,117.98,0.0,Luxury,1 year
Kharghar,2,2.0,1197,9301,111.33,1.0,Premium,Ready To Move
Worli,2,1.0,1064,35858,381.53,1.0,Luxury,Ready To Move
Ghatkopar East,3,3.0,1681,21637,363.72,1.0,Affordable,1 year
Panvel,3,3.0,1578,8280,130.66,1.0,Premium,1 year
Powai,1,1.0,564,24395,137.59,1.0,Premium,Ready To Move
Vikhroli,3,2.0,1695,16682,282.76,2.0,Affordable,Ready To Move
Kandivali East,3,2.0,1443,16367,236.18,0.0,Affordable,Ready To Move
Juhu,2,1.0,920,38351,352.83,1.0,Luxury,6 months
Bandra West,1,1.0,657,43774,287.6,0.0,Premium,Ready To Move
Vikhroli,3,2.0,1243,18035,224.18,0.0,Luxury,Ready To Move
Kharghar,2,1.0,974,10515,102.42,1.0,Luxury,Ready To Move
Worli,1,1.0,533,35114,187.16,1.0,Affordable,1 year
Panvel,2,2.0,1164,8413,97.93,1.0,Affordable,6 months
Andheri West,1,1.0,501,26031,130.42,0.0,Premium,6 months
Kandivali East,2,2.0,976,17059,166.5,0.0,Affordable,Ready To Move
Mulund West,3,2.0,1377,19529,268.91,1.0,Luxury,1 year
Powai,4,3.0,2327,26348,613.12,2.0,Affordable,6 months
Juhu,2,2.0,1380,36703,506.5,2.0,Affordable,6 months
Powai,2,2.0,1067,26412,281.82,0.0,Affordable,6 months
Thane West,1,1.0,605,12312,74.49,0.0,Premium,6 months
Navi Mumbai,3,3.0,1352,10599,143.3,0.0,Premium,Ready To Move
Lower Parel,4,3.0,2221,34789,772.66,2.0,Mid-Range,6 months
Worli,2,2.0,1186,36586,433.91,1.0,Luxury,6 months
Mulund West,1,,669,16154,108.07,1.0,Luxury,Ready To Move
Kurla West,3,2.0,1495,14842,221.89,2.0,Premium,6 months
Kurla West,2,2.0,1241,14845,184.23,1.0,Luxury,Ready To Move
Andheri West,1,1.0,513,27490,141.02,1.0,Affordable,1 year
Thane West,3,3.0,1897,12269,232.74,2.0,Affordable,6 months
Borivali West,3,3.0,1416,17386,246.19,1.0,Mid-Range,1 year
Worli,3,3.0,1549,36635,567.48,0.0,Luxury,1 year
Mulund West,2,2.0,1062,16738,177.76,1.0,Affordable,Ready To Move
Goregaon East,1,1.0,490,20458,100.24,2.0,Luxury,6 months
Kurla West,1,1.0,442,13740,60.73,2.0,Premium,1 year
Andheri West,2,1.0,1187,29971,355.76,1.0,Affordable,Ready To Move
Ghatkopar East,1,1.0,807,21702,175.14,1.0,Affordable,1 year
Kandivali East,4,3.0,2246,17957,403.31,0.0,Premium,6 months
Andheri West,3,2.0,1979,28271,559.48,2.0,Luxury,6 months
Powai,4,4.0,2026,27708,561.36,1.0,Luxury,Ready To Move
Mira Road,2,2.0,959,9623,92.28,0.0,Affordable,Ready To Move
Navi Mumbai,1,1.0,451,13437,60.6,1.0,Premium,Ready To Move
Andheri West,2,1.0,1147,29108,333.87,1.0,Luxury,Ready To Move
Bandra West,2,2.0,1222,42247,516.26,2.0,Affordable,Ready To Move
Kandivali East,1,1.0,375,14976,56.16,2.0,Affordable,Ready To Move
Juhu,4,3.0,2136,38588,824.24,0.0,Premium,6 months
Panvel,1,1.0,594,7767,46.14,0.0,Mid-Range,Ready To Move
Mulund West,3,3.0,1657,16178,268.07,1.0,Mid-Range,Ready To Move
Navi Mumbai,4,4.0,1995,13002,259.39,0.0,Mid-Range,Ready To Move
Andheri West,2,1.0,1225,29401,360.16,,Affordable,Ready To Move
Worli,1,1.0,479,34825,166.81,0.0,Luxury,6 months
Kandivali East,3,2.0,1986,15037,298.63,2.0,Premium,6 months
Navi Mumbai,4,4.0,2573,11119,286.09,1.0,Affordable,1 year
Mira Road,2,1.0,1313,10032,131.72,1.0,Mid-Range,Ready To Move
Panvel,1,1.0,566,9234,52.26,0.0,Luxury,6 months
Kandivali East,2,1.0,1246,14682,182.94,1.0,Affordable,Ready To Move
Navi Mumbai,3,2.0,1359,10307,140.07,1.0,Mid-Range,Ready To Move
Bandra West,1,1.0,392,40275,157.88,2.0,Mid-Range,6 months
Kharghar,3,3.0,1660,11781,195.56,1.0,Mid-Range,1 year
Powai,3,3.0,1712,25630,438.79,1.0,Premium,Ready To Move
Bandra West,3,3.0,1699,43741,743.16,1.0,Mid-Range,1 year
Malad West,3,2.0,1902,17319,329.41,0.0,Affordable,Ready To Move
Mira Road,1,1.0,667,10906,72.74,2.0,Mid-Range,6 months
Lower Parel,3,3.0,1914,34083,652.35,0.0,Premium,Ready To Move
Chembur,1,,649,21914,142.22,,Premium,Ready To Move
Powai,2,1.0,1331,26153,348.1,1.0,Luxury,Ready To Move
Thane West,3,3.0,1703,14785,251.79,0.0,Premium,Ready To Move
Panvel,3,3.0,1819,9122,165.93,0.0,Premium,6 months
Goregaon East,2,1.0,1192,18026,214.87,2.0,Mid-Range,Ready To Move
Kandivali East,3,3.0,1590,16424,261.14,0.0,Premium,6 months
Vikhroli,1,1.0,363,18885,68.55,2.0,Mid-Range,Ready To Move
Vikhroli,2,2.0,1122,17629,197.8,1.0,Premium,1 year
Kandivali East,2,2.0,1102,14647,161.41,1.0,Affordable,Ready To Move
Thane West,3,3.0,1523,15007,228.56,1.0,Affordable,Ready To Move
Navi Mumbai,3,3.0,1486,11910,176.98,1.0,Premium,Ready To Move
Juhu,1,1.0,758,39539,299.71,0.0,Premium,6 months
Vikhroli,3,2.0,1345,17040,229.19,1.0,Affordable,6 months
Chembur,1,1.0,762,22070,168.17,0.0,Premium,6 months
Andheri West,1,1.0,686,27170,186.39,0.0,Affordable,Ready To Move
Borivali West,3,2.0,1911,16498,315.28,0.0,Premium,6 months
Ghatkopar East,2,2.0,1174,19844,232.97,1.0,Luxury,Ready To Move
Juhu,2,1.0,1299,38284,497.31,0.0,Premium,1 year
Mulund West,1,1.0,399,18922,75.5,1.0,Affordable,Ready To Move
Kurla West,3,3.0,1532,13665,209.35,2.0,Mid-Range,6 months
Mulund West,4,3.0,2397,17945,430.14,1.0,Mid-Range,Ready To Move
Panvel,3,2.0,1742,9444,164.51,2.0,Premium,Ready To Move
Vikhroli,2,2.0,1182,15605,184.45,0.0,Luxury,Ready To Move
Malad West,1,1.0,614,17120,105.12,0.0,Affordable,1 year
Andheri West,3,3.0,1622,28297,458.98,2.0,Affordable,1 year
Thane West,1,1.0,728,14237,103.65,2.0,Mid-Range,1 year
Malad West,1,1.0,614,17421,106.96,1.0,Mid-Range,Ready To Move
Chembur,2,1.0,1038,21178,219.83,2.0,Affordable,1 year
Navi Mumbai,4,4.0,1837,11178,205.34,0.0,Mid-Range,1 year
Borivali West,3,2.0,1385,18391,254.72,2.0,Mid-Range,Ready To Move
Juhu,3,3.0,1331,38743,515.67,0.0,Premium,Ready To Move
Juhu,2,1.0,1327,36411,483.17,0.0,Luxury,Ready To Move
Panvel,3,2.0,1588,10096,160.32,1.0,Mid-Range,Ready To Move
Powai,3,3.0,1547,27740,429.14,1.0,Premium,Ready To Move
Kharghar,4,3.0,1856,12591,233.69,1.0,Luxury,6 months
Kandivali East,2,1.0,1242,17485,217.16,1.0,Premium,Ready To Move
Thane West,1,1.0,616,14943,92.05,2.0,Mid-Range,6 months
Vikhroli,3,3.0,1459,18387,268.27,1.0,Luxury,1 year
Juhu,1,1.0,607,39833,241.79,1.0,Affordable,Ready To Move
Mira Road,4,3.0,2664,9236,246.05,2.0,Luxury,6 months
Navi Mumbai,3,3.0,1225,11906,145.85,1.0,Mid-Range,Ready To Move
Kandivali East,2,2.0,900,15958,143.62,2.0,Mid-Range,1 year
Ghatkopar East,2,2.0,1236,20786,256.91,0.0,Affordable,6 months
Powai,3,3.0,1423,24828,353.3,,Premium,6 months
Mulund West,2,2.0,1173,18936,222.12,0.0,Affordable,Ready To Move
Mira Road,1,1.0,465,10288,47.84,1.0,Luxury,1 year
Borivali West,4,4.0,2391,17368,415.27,1.0,Mid-Range,Ready To Move
Ghatkopar East,1,1.0,800,18129,145.03,0.0,Premium,1 year
Navi Mumbai,2,1.0,1357,11538,156.57,2.0,Premium,6 months
Juhu,1,1.0,520,38981,202.7,0.0,Luxury,6 months
Mira Road,3,2.0,1722,11372,195.83,1.0,Mid-Range,Ready To Move
Borivali West,1,1.0,542,17518,94.95,0.0,Premium,Ready To Move
Powai,1,1.0,458,25002,114.51,1.0,Affordable,Ready To Move
Ghatkopar East,1,1.0,612,19184,117.41,2.0,Mid-Range,6 months
Goregaon East,2,2.0,1171,18693,218.9,0.0,Premium,1 year
Ghatkopar East,2,2.0,1392,21856,304.24,1.0,Mid-Range,1 year
Panvel,1,1.0,510,10090,51.46,0.0,Premium,6 months
Worli,4,3.0,2485,36303,902.13,1.0,Premium,1 year
Goregaon East,2,2.0,928,20777,192.81,1.0,Luxury,Ready To Move
Andheri West,2,1.0,1084,29578,320.63,2.0,Premium,1 year
Malad West,4,3.0,1835,17367,318.68,2.0,Luxury,1 year
Goregaon East,3,3.0,1545,19261,297.58,1.0,Affordable,1 year
Ghatkopar East,3,2.0,1487,19473,289.56,1.0,Affordable,Ready To Move
Chembur,4,3.0,2560,21518,550.86,0.0,Premium,Ready To Move
Bandra West,2,1.0,948,40803,386.81,1.0,Premium,1 year
Ghatkopar East,3,2.0,1565,21958,343.64,2.0,Affordable,1 year
Lower Parel,3,2.0,1320,34950,461.34,0.0,Luxury,Ready To Move
Powai,4,4.0,2303,25689,591.62,2.0,Premium,Ready To Move
Worli,1,1.0,682,35528,242.3,2.0,Affordable,1 year
Bandra West,1,1.0,331,42168,139.58,2.0,Mid-Range,Ready To Move
Mulund West,4,3.0,2435,16438,400.27,2.0,Premium,Ready To Move
Malad West,3,2.0,1925,17594,338.68,0.0,Mid-Range,1 year
Mira Road,3,3.0,1769,9228,163.24,0.0,Luxury,Ready To Move
Kharghar,2,1.0,1245,9229,114.9,2.0,Premium,Ready To Move
Chembur,4,3.0,2349,22317,524.23,0.0,Luxury,Ready To Move
Malad West,4,3.0,1819,20285,368.98,1.0,Luxury,Ready To Move
Thane West,1,1.0,543,15081,81.89,1.0,Luxury,6 months
Lower Parel,3,3.0,1754,34773,609.92,1.0,Affordable,Ready To Move
Powai,3,2.0,1209,25790,311.8,0.0,Mid-Range,1 year
Thane West,1,1.0,750,14009,105.07,2.0,Affordable,1 year
Lower Parel,3,2.0,1334,35268,470.48,0.0,Luxury,6 months
Worli,2,2.0,1297,35297,457.8,0.0,Luxury,6 months
Mira Road,2,1.0,839,8357,70.12,1.0,Affordable,Ready To Move
Bandra West,1,1.0,508,42445,215.62,1.0,Affordable,Ready To Move
Kandivali East,2,1.0,1161,16968,197.0,0.0,Premium,1 year
Lower Parel,1,1.0,534,34019,181.66,0.0,Affordable,6 months
Panvel,2,1.0,1159,8479,98.27,0.0,Affordable,Ready To Move
Mira Road,1,1.0,400,11886,47.54,2.0,Affordable,6 months
Mira Road,2,1.0,1205,9230,111.22,2.0,Premium,1 year
Thane West,1,1.0,730,13193,96.31,2.0,Affordable,Ready To Move
Thane West,2,1.0,1339,13495,180.7,2.0,Premium,Ready To Move
Ghatkopar East,1,1.0,668,19795,132.23,2.0,Luxury,1 year
Chembur,1,1.0,510,22697,115.75,1.0,Affordable,Ready To Move
Mira Road,3,2.0,1772,10188,180.53,2.0,Affordable,Ready To Move
Navi Mumbai,3,3.0,1328,12693,168.56,0.0,Luxury,1 year
Thane West,4,3.0,1633,12403,202.54,2.0,Premium,1 year
Navi Mumbai,2,1.0,1370,10617,145.45,0.0,Affordable,Ready To Move
Kandivali East,2,2.0,850,15426,131.12,1.0,Premium,1 year
Navi Mumbai,2,2.0,1175,11306,132.85,0.0,Luxury,Ready To Move
Thane West,3,3.0,1723,15808,272.37,0.0,Premium,Ready To Move
Thane West,3,2.0,2091,12949,270.76,2.0,Premium,Ready To Move
Panvel,2,2.0,1197,8841,105.83,1.0,Luxury,Ready To Move
Malad West,2,2.0,1066,19774,210.79,0.0,Mid-Range,6 months
Malad West,2,2.0,1104,18661,206.02,1.0,Affordable,1 year
Vikhroli,1,1.0,644,17528,112.88,2.0,Mid-Range,Ready To Move
Worli,2,2.0,998,34479,344.1,2.0,Premium,1 year
Panvel,3,3.0,1757,8732,153.42,2.0,Premium,Ready To Move
Chembur,2,2.0,975,23448,228.62,0.0,Mid-Range,Ready To Move
Chembur,1,1.0,724,23947,173.38,2.0,Affordable,1 year
Chembur,2,1.0,1055,20338,214.57,0.0,Mid-Range,Ready To Move
Borivali West,1,1.0,597,17316,103.38,1.0,Luxury,Ready To Move
Borivali West,4,3.0,2093,18112,379.08,2.0,Premium,1 year
Juhu,3,3.0,1364,37842,516.16,,Affordable,Ready To Move
Goregaon East,1,1.0,759,17679,134.18,0.0,Premium,Ready To Move
Vikhroli,2,1.0,1110,16325,181.21,1.0,Mid-Range,6 months
Mulund West,3,3.0,1432,19763,283.01,1.0,Premium,Ready To Move
Goregaon East,1,1.0,658,20118,132.38,1.0,Affordable,Ready To Move
Vikhroli,3,2.0,1812,16536,299.63,2.0,Luxury,1 year
Mulund West,3,2.0,1839,17862,328.48,1.0,Luxury,Ready To Move
Mira Road,3,2.0,1803,11259,203.0,0.0,Affordable,Ready To Move
Chembur,2,1.0,1289,21383,275.63,0.0,Affordable,6 months
Andheri West,1,1.0,715,26066,186.37,0.0,Affordable,1 year
Bandra West,2,,1139,43613,496.75,0.0,Mid-Range,Ready To Move
Navi Mumbai,2,2.0,994,10212,101.51,1.0,Premium,1 year
Powai,3,3.0,1229,25953,318.96,2.0,Premium,1 year
Bandra West,1,1.0,590,43523,256.79,,Affordable,Ready To Move
Goregaon East,2,2.0,1146,17422,199.66,1.0,Premium,1 year
Worli,3,3.0,1175,36499,428.86,1.0,Mid-Range,Ready To Move
Worli,2,1.0,1271,34355,436.65,0.0,Luxury,1 year
Navi Mumbai,2,1.0,1195,11014,131.62,0.0,Premium,6 months
Bandra West,4,3.0,1988,40772,810.55,1.0,Luxury,Ready To Move
Chembur,2,2.0,1097,22613,248.06,2.0,Luxury,6 months
Thane West,1,1.0,755,13496,101.89,0.0,Affordable,Ready To Move
Bandra West,3,3.0,1263,40883,516.35,0.0,Affordable,6 months
Mulund West,4,3.0,2157,16337,352.39,2.0,Premium,6 months
Powai,2,2.0,1084,27990,303.41,2.0,Mid-Range,1 year
Vikhroli,3,3.0,1580,17989,284.23,0.0,Luxury,Ready To Move
Powai,2,2.0,980,25266,247.61,2.0,Premium,Ready To Move
Bandra West,3,3.0,1662,40671,675.95,1.0,Mid-Range,Ready To Move
Navi Mumbai,1,1.0,567,13159,74.61,1.0,Affordable,6 months
Mulund West,1,1.0,541,18032,97.55,1.0,Luxury,1 year
Vikhroli,1,1.0,490,18167,89.02,2.0,Luxury,Ready To Move
Mulund West,1,1.0,545,17001,92.66,1.0,Affordable,Ready To Move
Lower Parel,4,4.0,2298,32919,756.48,1.0,Mid-Range,6 months
Powai,3,2.0,1467,26757,392.53,0.0,Premium,Ready To Move
Kharghar,1,1.0,685,12168,83.35,1.0,Luxury,1 year
Bandra West,2,2.0,1023,43029,440.19,1.0,Mid-Range,1 year
Malad West,3,3.0,1237,20319,251.35,0.0,Mid-Range,Ready To Move
Thane West,1,1.0,694,12425,86.23,0.0,Affordable,1 year
Andheri West,1,1.0,365,29773,108.67,2.0,Affordable,6 months
Mira Road,3,3.0,1612,10070,162.33,1.0,Luxury,Ready To Move
Panvel,3,3.0,1449,8069,116.92,,Mid-Range,6 months
Mira Road,2,2.0,861,8557,73.68,2.0,Luxury,Ready To Move
Juhu,1,1.0,599,37665,225.61,1.0,Premium,1 year
Kandivali East,2,1.0,1217,14370,174.88,2.0,Mid-Range,Ready To Move
Malad West,4,3.0,1714,19412,332.72,1.0,Affordable,Ready To Move
Kandivali East,2,2.0,941,17500,164.68,2.0,Premium,Ready To Move
Mira Road,1,1.0,357,8252,29.46,0.0,Premium,Ready To Move
Kharghar,2,2.0,1150,12757,146.71,0.0,Luxury,Ready To Move
Mira Road,4,4.0,1781,8501,151.4,1.0,Luxury,Ready To Move
Vikhroli,2,1.0,989,16567,163.85,0.0,Mid-Range,Ready To Move
Lower Parel,2,1.0,1024,32141,329.12,2.0,Premium,6 months
Chembur,2,1.0,794,21145,167.89,1.0,Premium,Ready To Move
Ghatkopar East,4,4.0,2091,19964,417.45,1.0,Mid-Range,6 months
Kharghar,2,2.0,895,11445,102.43,1.0,Luxury,1 year
Mulund West,2,2.0,1299,16410,213.17,0.0,Mid-Range,Ready To Move
Goregaon East,3,2.0,1478,17721,261.92,1.0,Mid-Range,Ready To Move
Navi Mumbai,3,,1648,13427,221.28,1.0,Mid-Range,Ready To Move
Chembur,1,1.0,453,22464,101.76,2.0,Affordable,Ready To Move
Thane West,3,3.0,1804,13395,241.65,1.0,Luxury,Ready To Move
Worli,3,3.0,1770,37467,663.17,1.0,Luxury,6 months
Kharghar,3,3.0,1532,10321,158.12,0.0,Affordable,1 year
Thane West,1,1.0,466,13549,63.14,2.0,Mid-Range,Ready To Move
Lower Parel,3,3.0,2046,35484,726.0,2.0,Luxury,Ready To Move
Kurla West,2,2.0,1099,16836,185.03,1.0,Luxury,Ready To Move
Navi Mumbai,2,2.0,1089,13365,145.54,2.0,Mid-Range,1 year
Bandra West,2,2.0,880,41435,364.63,0.0,Luxury,Ready To Move
Kharghar,2,,1301,12623,164.23,1.0,Mid-Range,1 year
Juhu,4,3.0,2439,36666,894.28,0.0,Mid-Range,Ready To Move
Thane West,2,2.0,931,12696,118.2,0.0,Luxury,Ready To Move
Thane West,3,,1675,13766,230.58,0.0,Affordable,Ready To Move
Andheri West,1,1.0,469,27676,129.8,2.0,Mid-Range,6 months
Kandivali East,1,1.0,533,16341,87.1,1.0,Premium,Ready To Move
Navi Mumbai,1,,492,13374,65.8,2.0,Affordable,Ready To Move
Juhu,1,1.0,512,36335,186.04,0.0,Mid-Range,1 year
Chembur,2,1.0,964,20757,200.1,1.0,Mid-Range,Ready To Move
Mira Road,1,1.0,670,9078,60.82,1.0,Luxury,Ready To Move
Juhu,1,1.0,737,39976,294.62,0.0,Luxury,1 year
Mulund West,2,1.0,1132,17950,203.19,1.0,Luxury,Ready To Move
Juhu,4,3.0,1781,39981,712.06,0.0,Premium,Ready To Move
